participant,trial no.,actual control,target ID,rt,response,accuracy
2,1,0.4,3,10,2,0
2,2,0,3,10,1,0
2,3,0.4,3,10,2,0
2,4,0,3,10,1,0
2,5,0.4,1,10,2,0
2,6,0.2,3,10,1,0
2,7,0.8,1,10,1,1
2,8,0.4,3,10,2,0
2,9,0.6,3,1.118,2,0
2,10,0.5,1,10,2,0
2,11,0.4,1,10,2,0
2,12,0.6,2,10,2,1
2,13,0.6,1,10,1,1
2,14,1,1,10,1,1
2,15,0.5,2,10,2,1
2,16,0.2,2,10,2,1
2,17,0,1,10,1,1
2,18,0.8,3,10,3,1
2,19,0.2,2,10,2,1
2,20,0.8,2,10,2,1
2,21,0.4,3,10,3,1
2,22,0,3,10,1,0
2,23,1,3,10,3,1
2,24,0.5,1,10,2,0
2,25,0.5,3,10,1,0
2,26,0.2,3,10,2,0
2,27,0.6,3,10,2,0
2,28,1,3,10,2,0
2,29,0.2,3,10,3,1
2,30,0.8,2,10,2,1
2,31,0.6,1,10,1,1
2,32,0.6,3,10,3,1
2,33,0.2,2,10,2,1
2,34,0,2,10,2,1
2,35,0.8,2,10,2,1
2,36,1,2,10,2,1
2,37,1,1,10,1,1
2,38,0,3,10,1,0
2,39,0.5,3,10,1,0
2,40,0.8,2,10,2,1
2,41,0.5,3,10,2,0
2,42,1,1,10,1,1
